"SNP1" "SNP2" "SNP3" "SNP4" "SNP5" "SNP6" "SNP7" "SNP8" "SNP9" "SNP10" "SNP11" "SNP12" "SNP13" "SNP14" "SNP15" "SNP16" "SNP17" "SNP18" "SNP19" "SNP20" "SNP21" "SNP22" "SNP23" "SNP24" "SNP25" "SNP26" "SNP27" "SNP28" "SNP29" "SNP30" "SNP31" "SNP32" "SNP33" "SNP34" "SNP35" "SNP36" "SNP37" "SNP38"
"26" 9 5 5 11 3 0 1 13 20 4 1 12 5 18 12 6 8 6 13 7 8 0 2 7 7 4 2 3 4 19 20 12 8 12 10 13 1 2
"27" 1 5 4 9 5 8 4 10 12 3 3 11 7 12 8 5 10 6 8 2 3 3 2 7 0 6 2 3 7 11 19 11 5 6 12 16 2 0
"28" 9 7 7 23 10 8 12 12 16 11 2 15 6 18 25 4 10 7 13 18 2 4 0 4 5 13 2 1 18 18 22 10 8 20 15 6 0 2
"29" 3 6 5 22 11 7 5 6 10 7 3 16 7 14 18 2 6 8 17 13 5 3 2 3 11 17 3 3 5 12 11 6 8 7 9 8 2 5
"30" 2 4 10 17 10 4 3 4 11 4 1 13 5 15 16 4 6 4 5 12 4 5 2 4 3 7 5 2 4 10 19 12 2 11 14 8 2 2
"31" 8 5 6 16 6 9 11 17 7 11 5 15 7 20 21 12 13 9 18 17 1 2 1 10 8 8 2 5 18 22 28 11 12 15 21 8 3 5
"32" 3 11 5 6 4 3 6 7 15 14 1 6 15 17 22 9 10 9 14 12 3 1 2 6 1 11 5 4 9 21 18 8 2 5 14 9 1 2
"33" 1 5 2 12 12 1 13 13 7 13 2 12 1 12 21 5 18 9 22 19 5 3 4 4 5 18 0 5 12 18 27 13 10 17 12 20 3 2
"34" 6 6 4 0 0 4 6 9 8 7 2 15 7 9 13 5 4 2 15 12 2 0 2 5 3 7 3 1 9 20 23 8 3 11 19 10 6 2
"35" 10 9 9 25 19 8 8 19 17 4 3 13 7 15 27 2 11 10 17 17 2 3 3 8 4 5 6 9 13 20 13 22 8 13 11 11 4 4
"36" 8 7 7 34 25 7 18 19 13 9 2 18 7 32 26 6 10 5 10 23 3 4 1 16 8 16 2 2 9 26 21 18 16 7 13 16 2 4
"37" 5 12 5 15 27 10 8 14 13 7 3 20 14 17 15 9 13 5 16 16 7 3 1 10 7 16 4 5 11 24 19 11 7 5 15 12 2 2
"38" 1 13 3 19 12 8 6 16 15 7 4 9 20 18 25 5 13 15 10 17 0 4 1 4 5 9 5 5 7 22 12 12 15 15 19 19 4 4
"39" 8 7 9 8 3 5 19 13 9 13 3 11 7 17 21 5 15 4 19 10 2 0 2 6 7 9 4 2 4 23 19 10 7 17 16 10 4 1
"40" 2 4 4 2 2 2 2 5 8 5 3 8 11 9 3 2 3 3 15 7 1 2 2 1 5 5 1 1 6 20 18 5 1 9 7 13 5 4
"41" 2 9 5 11 16 5 8 22 21 13 2 13 10 19 34 7 8 7 24 24 4 0 2 12 2 10 5 2 12 24 22 17 12 9 22 15 1 6
"42" 4 9 9 25 18 12 15 17 16 7 4 21 8 24 17 10 9 8 18 15 2 1 1 8 3 15 8 8 12 27 19 12 1 15 23 15 4 1
"43" 6 2 1 12 26 14 10 8 11 11 1 6 10 17 19 13 13 5 16 14 4 4 1 4 3 6 0 6 9 29 17 11 4 14 21 13 4 2
"44" 6 9 2 7 8 5 3 13 12 5 1 4 4 24 20 6 9 5 15 12 4 0 0 5 1 10 3 3 5 5 25 10 6 4 17 8 1 4
"45" 8 6 3 13 8 6 10 19 9 3 2 6 17 14 18 7 8 6 10 11 3 0 0 4 3 9 0 0 7 18 20 2 7 12 18 9 3 2
"46" 4 5 3 9 15 13 11 11 9 7 3 10 6 14 12 5 10 8 12 22 2 2 4 5 9 5 1 5 4 25 23 20 4 10 13 24 1 3
"47" 10 4 5 9 8 4 9 14 12 8 1 8 13 13 19 1 10 5 26 11 1 2 0 8 6 9 6 3 11 17 28 12 7 14 11 15 5 2
"48" 6 10 4 7 13 5 5 13 18 5 1 4 7 12 25 5 9 3 11 9 3 1 0 8 4 7 3 3 11 21 9 10 5 12 10 20 3 1
"49" 2 2 2 11 8 5 12 15 10 9 7 8 9 25 16 3 6 10 12 10 3 2 0 8 4 7 1 0 9 17 28 12 7 16 19 14 3 2
"50" 7 5 5 25 14 13 11 15 24 9 3 21 11 20 19 11 13 2 21 21 4 3 2 7 11 12 2 1 10 21 18 12 1 20 10 17 3 2
"51" 4 7 2 3 2 1 4 8 16 4 1 3 7 8 2 0 9 3 13 11 2 2 0 1 4 1 1 3 7 13 14 13 4 5 14 8 2 0
"52" 7 1 5 0 0 13 6 11 17 13 3 13 13 17 18 6 4 6 10 17 6 2 1 9 5 6 2 4 15 19 16 11 3 20 12 10 6 1
"53" 6 10 10 11 12 12 18 20 17 16 2 19 10 18 17 19 8 10 15 19 7 1 3 3 3 10 0 8 15 34 26 9 9 17 21 15 7 3
"54" 8 7 5 0 0 4 11 17 11 5 1 9 10 14 17 4 7 15 15 8 6 3 3 7 6 12 3 0 6 17 18 11 5 18 17 13 3 4
"55" 3 5 9 3 3 7 2 5 11 5 3 2 2 10 17 5 9 2 3 13 3 0 1 9 2 10 3 6 8 19 11 13 9 4 5 10 2 2
"56" 2 9 6 0 0 9 9 17 13 9 2 5 9 17 22 5 9 6 18 8 3 2 1 13 1 6 0 3 8 13 13 11 2 9 12 8 3 3
"57" 4 6 9 11 7 5 6 18 10 6 5 11 10 23 27 12 10 4 24 14 0 1 2 14 9 6 3 1 8 19 16 16 11 6 13 24 1 3
"58" 9 6 7 0 0 4 11 29 25 14 2 11 16 25 18 9 14 7 22 19 3 2 3 9 11 9 1 5 7 22 17 17 3 15 12 11 5 4
"59" 7 6 8 4 7 13 8 15 9 12 2 13 18 13 33 4 14 8 17 12 3 3 1 5 6 7 3 6 9 18 15 11 5 10 12 13 2 1
"60" 6 10 11 17 11 4 2 16 9 13 2 5 13 16 19 9 6 7 18 16 4 2 3 5 4 10 4 4 10 17 40 16 6 13 22 9 2 4
"61" 7 3 10 10 15 2 3 20 7 7 2 12 9 28 20 9 11 4 9 11 8 2 1 7 8 6 6 3 9 20 17 8 9 9 9 17 3 6
"62" 4 12 9 6 10 10 6 10 11 16 2 11 14 18 18 8 8 12 8 16 2 0 8 2 5 15 3 3 8 23 13 11 12 14 17 6 7 5
"63" 1 3 2 7 17 10 7 10 8 4 6 9 7 20 15 2 6 7 18 8 2 3 0 5 3 2 4 3 8 16 9 14 3 7 18 12 3 0
"64" 5 2 1 6 2 6 3 10 9 7 1 10 7 14 12 7 4 0 14 9 2 2 0 4 3 6 3 2 2 9 13 7 1 6 12 7 3 2
"65" 3 4 3 3 5 12 5 10 15 10 2 10 6 11 9 5 13 3 6 12 1 1 2 7 5 8 0 4 8 21 14 9 4 8 8 6 2 2
"66" 6 5 5 8 5 6 1 17 5 4 1 3 5 5 11 6 9 2 10 8 2 0 1 2 2 5 1 1 3 20 11 6 3 4 9 16 1 2
"67" 5 3 10 24 18 15 6 17 16 12 1 3 8 27 17 11 7 5 16 12 7 1 4 2 4 11 4 2 3 21 14 10 7 5 13 23 1 1
"68" 12 2 3 0 0 4 3 15 14 0 1 10 5 22 17 0 12 9 13 14 3 3 1 5 4 11 6 1 3 14 13 12 5 14 19 8 4 2
"69" 1 6 0 8 4 5 1 10 18 8 6 9 7 9 15 7 12 4 8 11 0 1 2 4 4 2 2 4 11 22 13 10 1 12 17 5 2 0
"70" 4 5 10 5 16 8 11 6 16 8 1 15 9 33 25 12 10 7 7 27 5 3 3 5 4 12 2 1 12 16 29 10 7 9 10 14 1 2
"71" 10 6 6 12 8 5 8 7 11 10 2 16 7 25 10 9 13 6 8 13 1 1 2 7 2 13 3 0 7 24 14 10 9 12 4 21 2 1
"72" 5 3 2 0 0 9 5 11 15 5 1 7 3 11 18 0 5 6 7 7 4 1 0 5 3 6 1 1 4 7 9 6 10 9 8 7 2 4
"73" 5 6 5 20 21 8 4 14 9 14 4 7 6 17 33 10 14 8 26 14 2 1 4 3 5 8 3 2 7 28 15 11 10 14 15 7 3 2
"74" 6 5 4 15 11 10 8 22 22 10 4 18 19 25 17 8 19 15 27 19 3 2 1 12 5 10 3 3 4 27 20 14 7 13 14 11 3 4
"75" 6 2 6 8 10 10 9 15 14 9 1 6 7 21 29 7 11 2 13 22 2 1 1 2 4 7 2 0 8 32 14 4 6 9 6 21 5 6
"76" 3 5 3 3 4 16 3 14 4 7 0 8 7 13 11 10 6 4 10 10 0 1 0 3 1 7 1 4 8 22 12 10 5 14 8 6 2 1
"77" 8 6 6 0 0 3 13 10 13 15 4 15 14 15 16 8 10 7 22 14 5 3 0 4 4 8 2 2 5 17 23 16 6 18 17 6 6 2
"78" 4 6 2 9 4 10 4 16 11 2 2 22 6 16 19 9 2 6 14 12 5 2 5 9 2 5 1 5 5 15 8 11 8 7 14 10 4 1
"79" 10 8 6 24 31 13 14 20 21 15 1 18 10 19 37 10 11 8 18 23 4 3 4 5 2 21 5 4 11 26 23 19 5 9 16 13 2 3
"80" 4 7 4 14 11 0 5 15 17 12 5 12 7 24 11 8 9 4 16 18 4 1 2 5 6 4 2 0 10 38 20 15 7 13 19 27 2 3
"81" 2 16 11 13 30 8 13 18 16 9 5 12 5 21 21 11 13 11 22 16 5 3 4 5 10 16 5 3 13 26 30 9 13 20 16 19 3 1
"82" 4 5 1 5 21 5 3 12 7 8 2 5 7 14 15 5 10 5 6 8 3 0 2 5 0 6 7 2 14 6 14 9 5 6 7 8 3 2
"83" 1 10 7 14 10 10 8 9 23 10 3 8 11 7 5 2 16 5 22 11 3 1 2 11 5 8 4 1 7 10 16 16 11 13 19 12 4 1
"84" 5 3 3 24 13 9 5 13 4 12 1 15 12 9 11 4 4 5 13 15 2 0 3 2 2 10 4 4 5 15 18 9 3 3 3 12 4 3
"85" 7 5 6 0 0 12 8 7 15 9 0 9 13 28 18 9 6 4 23 19 3 3 4 15 6 3 4 4 7 22 19 17 9 22 8 9 4 2
"86" 5 8 13 9 4 4 10 11 13 14 3 17 7 20 15 7 4 5 18 16 3 0 2 7 3 7 1 1 11 22 29 9 6 16 12 11 4 0
"87" 7 8 8 13 7 11 7 12 19 5 4 6 22 17 18 8 15 10 22 26 2 4 0 7 12 9 2 4 19 23 18 12 10 10 17 13 2 3
"88" 3 7 5 10 9 3 1 10 14 9 2 10 5 18 19 4 9 3 8 5 2 2 2 3 3 6 4 4 5 11 20 7 10 5 11 13 3 1
"89" 1 7 2 17 17 3 8 18 8 8 1 9 10 15 17 6 8 4 13 22 3 1 1 6 4 18 3 2 6 25 18 12 1 7 8 11 2 1
"90" 3 4 4 20 17 3 6 17 22 8 0 9 3 12 17 6 15 8 11 18 0 3 0 8 10 9 2 1 4 19 9 10 7 11 17 8 3 1
"91" 8 4 7 13 11 9 10 17 11 4 3 10 10 14 12 8 11 3 17 16 10 2 0 7 4 15 4 2 11 17 36 6 10 10 12 16 3 0
"92" 8 5 5 5 9 7 10 22 18 14 3 5 13 28 21 13 9 15 29 26 8 4 1 5 1 15 4 5 9 30 24 13 4 22 14 12 4 3
"93" 12 8 1 6 5 6 4 20 10 3 1 15 14 10 21 4 7 7 13 16 3 3 1 8 5 7 3 6 12 22 24 2 1 8 12 25 3 1
"94" 3 9 5 13 11 5 8 13 8 7 1 2 10 14 16 3 10 13 15 9 6 0 1 4 3 7 5 1 9 18 19 10 6 13 17 10 4 2
"95" 2 6 8 12 14 6 10 21 10 11 1 4 8 18 16 3 7 8 11 10 3 1 1 5 4 9 2 3 8 20 11 10 3 16 17 5 3 3
"96" 2 3 6 5 4 7 5 19 6 4 3 7 7 12 7 4 10 3 8 12 3 1 0 4 0 4 1 2 10 16 11 10 2 8 7 4 1 5
"97" 4 3 4 8 5 4 10 5 10 5 2 10 2 16 19 9 10 3 12 13 5 1 2 7 1 6 2 1 7 5 13 8 6 2 14 6 3 3
"98" 4 4 4 6 8 7 1 8 12 9 2 17 11 22 12 9 13 7 9 7 3 0 1 4 3 5 2 1 6 23 27 10 3 12 13 14 2 1
"99" 3 4 4 11 8 5 15 10 20 12 5 10 11 12 17 9 8 9 17 17 7 5 0 2 3 8 4 5 8 16 14 15 10 20 13 13 2 3
"100" 6 3 3 0 0 7 11 18 14 15 3 14 6 10 19 5 10 4 12 12 8 1 1 8 3 9 3 1 11 17 14 10 5 9 17 15 5 5
"101" 2 5 3 4 10 4 2 5 8 3 3 7 12 15 4 4 6 1 9 6 1 1 0 2 2 3 3 1 3 10 13 3 4 10 8 13 0 5
"102" 4 6 5 2 6 4 2 9 16 11 4 11 1 18 7 4 6 2 13 12 1 1 0 7 6 6 0 1 6 10 9 9 7 18 8 6 2 3
"103" 11 9 6 11 11 7 9 7 22 15 1 9 5 24 25 8 19 6 27 23 3 1 2 6 6 15 4 9 11 31 28 12 9 21 15 17 5 2
"104" 5 16 5 27 18 11 10 25 17 8 0 19 12 28 14 8 17 1 12 24 4 4 5 15 2 8 1 5 13 24 28 11 6 11 26 23 1 4
"105" 7 1 8 16 5 10 6 10 17 7 6 8 11 14 24 6 19 10 15 15 8 2 3 11 5 9 7 2 10 21 19 16 4 9 6 13 4 1
"106" 5 6 4 5 7 5 1 10 18 3 0 5 11 19 18 7 3 6 10 11 4 3 2 10 1 7 3 5 9 29 13 12 6 11 14 12 8 3
"107" 6 4 3 8 13 4 9 8 11 7 1 12 3 15 15 11 6 4 8 13 2 1 1 6 3 16 3 1 7 18 16 6 5 12 9 11 4 1
"108" 7 2 3 8 1 2 3 14 6 4 4 6 10 9 12 9 3 2 7 12 8 2 1 2 1 5 3 1 4 12 18 7 7 5 13 7 3 2
"109" 5 5 5 12 8 5 7 6 15 6 5 10 10 26 11 3 7 7 29 18 6 0 3 6 7 13 1 4 13 26 28 7 3 6 16 8 6 2
"110" 2 7 3 4 3 0 1 9 9 1 1 4 5 9 22 6 10 5 13 19 1 0 4 5 2 4 3 3 4 9 10 13 7 4 16 7 0 1
"111" 6 4 7 15 8 3 4 10 10 8 3 7 14 13 15 8 4 4 11 18 3 3 1 5 1 7 0 1 7 17 14 5 5 9 9 16 4 3
"112" 5 4 3 0 5 2 1 10 18 4 2 6 9 20 12 7 3 5 0 5 8 3 0 6 3 11 2 2 5 7 12 9 8 1 8 16 0 6
"113" 4 1 10 27 19 19 12 14 17 9 4 10 9 26 27 4 11 6 16 10 3 2 3 7 8 7 1 5 6 16 20 12 6 9 7 14 0 5
"114" 8 9 9 0 0 15 13 13 14 7 5 16 7 19 35 9 11 11 11 15 8 1 2 7 5 9 1 3 8 27 36 6 15 16 9 12 5 5
"115" 2 3 1 5 8 2 9 9 11 3 0 9 1 10 2 4 10 3 4 13 2 3 1 3 1 6 2 3 6 5 11 7 4 3 9 10 0 0
"116" 6 3 4 11 6 2 1 12 18 4 1 11 3 9 31 6 14 6 7 8 1 1 2 9 3 7 2 6 16 23 14 14 7 5 15 7 2 2
"117" 2 3 8 9 12 9 9 16 6 10 1 16 8 21 8 3 7 9 14 8 4 1 1 3 3 8 2 3 16 30 15 10 6 9 8 6 4 3
"118" 7 8 8 27 20 9 12 14 14 11 1 9 12 23 37 5 22 14 11 17 5 4 2 13 8 12 2 2 13 20 17 20 4 16 17 15 2 0
"119" 6 5 6 7 6 5 6 16 13 8 3 20 11 8 9 5 14 8 8 16 2 3 2 8 8 13 1 6 4 18 20 2 1 13 13 14 4 1
"120" 4 6 4 8 13 5 5 13 13 10 7 10 14 19 9 10 13 3 20 11 3 1 3 5 3 9 2 9 8 19 19 9 4 15 12 11 2 0
"121" 6 6 5 8 12 21 20 11 12 9 7 9 13 20 17 9 7 5 23 14 4 2 5 7 5 16 6 2 12 19 34 10 8 17 21 17 4 1
"122" 10 4 2 6 11 2 3 9 3 2 3 8 13 16 21 3 6 2 16 12 4 4 0 16 2 7 0 3 9 19 25 10 5 8 12 19 5 2
"123" 4 5 2 22 10 11 4 11 21 9 2 5 3 19 24 4 14 7 12 13 4 3 1 3 5 4 0 3 8 15 9 11 6 8 12 7 3 4
"124" 3 5 3 5 4 4 4 11 11 10 6 8 10 26 17 5 9 2 18 12 2 2 2 4 7 10 5 2 7 17 13 6 6 4 11 15 6 2
"125" 9 3 4 7 11 1 17 16 13 8 1 14 9 17 33 9 8 4 19 12 2 1 0 7 4 7 5 4 7 27 18 7 10 4 24 15 2 2
"126" 5 3 6 10 9 6 1 10 15 5 2 6 21 19 11 9 11 11 13 17 4 1 0 4 8 6 5 1 4 27 17 11 11 18 14 12 1 1
"127" 4 6 3 0 0 3 8 9 8 11 2 5 7 26 8 8 5 5 14 23 4 0 0 7 3 5 1 2 14 20 19 2 6 2 5 5 2 0
"128" 11 8 5 13 14 19 11 23 22 6 3 15 7 28 27 9 18 10 11 27 2 2 2 9 4 15 5 2 16 42 19 10 13 4 19 14 2 1
"129" 5 6 8 18 23 15 11 9 18 17 3 7 3 8 12 10 7 7 20 14 3 1 0 8 2 11 2 3 9 23 30 12 11 7 15 14 1 1
"130" 9 10 4 7 6 6 5 17 8 12 5 9 8 15 16 8 9 7 14 10 4 3 1 8 7 6 3 4 7 32 9 7 4 7 15 6 6 4
"131" 8 6 4 20 9 7 6 7 7 10 2 7 2 11 20 5 5 6 12 11 1 0 2 5 5 10 2 1 12 24 15 9 8 12 12 22 1 3
"132" 5 1 6 6 6 4 2 3 7 3 2 12 6 18 7 5 2 5 10 7 1 2 1 9 7 9 2 5 4 3 14 8 5 10 5 5 3 2
"133" 6 12 6 12 22 9 12 23 25 5 3 10 19 36 41 10 17 8 16 21 3 1 5 11 9 20 7 6 8 21 24 15 12 13 22 7 3 6
"134" 14 10 6 23 15 11 8 23 15 11 2 16 12 18 25 12 13 7 20 20 4 3 3 10 7 9 5 2 18 32 22 16 11 11 10 22 2 1
"135" 2 6 11 24 26 8 9 4 22 5 2 7 4 25 12 4 11 5 13 8 3 0 1 4 3 14 0 0 11 19 24 13 7 14 4 10 2 2
"136" 3 5 7 19 35 21 9 17 20 20 5 16 14 20 20 12 11 13 12 13 5 6 4 12 7 9 2 2 8 22 31 11 12 21 23 16 8 3
"137" 2 2 5 18 6 2 1 16 10 7 0 8 3 11 16 4 4 2 17 10 4 2 3 4 1 6 2 3 6 13 11 7 3 8 16 14 0 1
"138" 4 3 5 15 8 13 6 12 14 7 3 6 9 10 13 9 11 2 14 15 1 1 1 7 1 7 4 1 7 18 19 11 4 13 15 13 5 5
"139" 0 6 1 8 7 3 3 13 4 3 4 4 5 15 4 7 10 4 16 6 3 2 3 2 3 9 3 1 8 7 16 11 7 9 13 12 0 1
"140" 8 12 1 27 19 10 8 10 12 4 1 2 8 16 25 7 11 1 10 8 3 4 0 5 1 7 4 3 10 19 25 6 5 8 13 28 2 0
"141" 8 6 9 8 8 4 3 19 12 2 3 8 13 16 24 3 10 4 18 17 1 2 2 9 7 14 8 2 11 14 5 2 6 11 15 16 4 2
"142" 9 4 2 7 7 7 3 8 8 4 0 6 8 5 8 1 9 4 6 7 1 0 3 8 4 6 1 0 11 11 14 5 6 8 13 11 2 3
"143" 4 6 4 1 6 2 1 13 20 8 1 11 12 20 11 8 13 5 13 12 3 5 4 12 5 11 2 6 15 14 21 8 16 9 21 16 3 2
"144" 9 5 4 12 9 3 8 19 14 7 5 10 5 18 13 7 14 6 17 12 8 2 5 5 3 11 2 4 13 18 25 6 13 14 6 9 1 0
"145" 7 4 9 30 19 4 11 10 9 12 1 14 9 25 21 5 9 3 13 9 5 2 1 5 8 13 5 2 3 22 25 12 7 6 17 12 2 1
"146" 4 1 7 0 0 2 7 14 12 6 3 9 5 15 13 14 10 2 9 15 5 1 0 3 7 6 1 1 3 14 27 7 6 19 18 7 2 0
"147" 9 14 13 1 0 5 6 7 14 4 1 17 3 21 15 3 9 4 12 18 2 4 0 6 4 20 2 3 9 12 13 9 3 6 6 15 4 3
"148" 2 6 3 6 8 1 2 12 12 3 1 4 7 10 20 4 8 7 11 10 1 1 1 5 0 3 4 1 9 8 19 15 7 8 14 8 2 2
"149" 4 5 8 0 0 9 10 13 16 13 2 7 9 7 5 3 13 9 18 17 1 4 0 4 4 19 2 0 9 15 19 15 5 10 10 13 4 4
"150" 10 3 4 0 0 11 22 18 12 18 0 7 16 28 22 9 16 3 13 12 3 2 2 5 9 8 5 5 10 17 32 14 3 10 20 7 3 2
"151" 5 7 7 8 1 13 8 18 20 22 5 16 18 14 36 15 22 4 26 21 1 4 1 7 5 15 3 9 29 38 44 23 11 9 19 19 2 3
"152" 7 9 8 33 17 7 4 13 25 14 1 7 13 22 21 6 4 7 11 15 4 1 2 6 6 8 0 3 10 17 16 8 1 21 12 15 6 1
"153" 5 2 0 9 3 3 5 8 5 5 2 11 5 16 15 4 3 4 11 6 1 6 1 5 6 5 3 2 5 12 13 9 3 1 9 13 1 1
"154" 3 3 9 3 10 5 8 16 12 10 0 8 4 27 17 5 7 1 12 11 2 0 0 3 2 1 5 1 7 10 24 4 3 17 8 19 3 3
"155" 3 7 4 17 18 7 17 19 18 4 5 15 16 25 26 1 13 10 22 16 10 2 0 8 2 13 3 2 8 23 13 20 7 7 18 18 4 5
"156" 9 4 5 6 4 10 5 9 9 1 2 10 11 11 20 5 9 8 8 18 1 0 2 11 2 5 0 2 5 21 21 6 8 10 18 6 1 2
"157" 4 3 5 19 16 8 9 19 20 13 0 17 5 29 14 5 16 9 23 17 1 2 1 4 2 17 3 4 11 18 16 17 7 10 23 20 2 2
"158" 5 8 9 0 0 8 10 11 32 6 1 13 18 20 27 4 10 9 19 16 1 3 2 12 10 12 8 3 13 18 25 20 9 7 14 17 1 3
"159" 13 8 13 7 10 12 13 19 29 14 3 21 7 22 22 20 9 3 20 29 7 3 0 14 5 11 3 3 8 30 30 5 7 16 21 9 7 6
"160" 7 7 8 11 8 6 7 11 11 16 0 10 8 16 19 9 8 8 8 14 4 3 3 3 4 16 3 2 11 21 15 13 8 13 24 10 5 7
"161" 2 4 2 7 14 2 4 6 6 4 0 8 6 20 13 7 10 5 9 11 3 2 1 3 1 8 4 1 10 8 16 8 4 7 8 8 3 0
"162" 7 3 5 0 0 8 5 9 11 7 1 17 7 18 25 7 9 3 22 13 1 2 1 6 6 10 7 2 11 26 22 6 6 16 14 10 5 4
"163" 2 8 6 9 17 9 14 5 13 7 3 16 11 14 14 12 11 5 14 11 2 3 3 10 6 7 3 0 11 16 26 16 5 8 5 13 6 4
"164" 4 5 7 11 12 11 16 10 15 5 1 14 9 13 12 6 11 8 9 20 4 0 4 10 3 15 6 3 9 22 28 20 4 12 8 4 3 1
"165" 6 4 5 16 9 8 8 16 16 13 4 13 9 22 22 4 14 4 22 22 7 5 1 10 5 10 3 3 9 15 25 12 8 13 15 8 7 4
"166" 4 7 2 18 22 8 4 12 11 10 7 12 12 20 18 9 11 8 18 20 5 4 2 9 2 2 4 4 11 29 30 9 8 14 11 10 6 1
"167" 7 6 7 0 0 3 5 18 21 3 3 5 9 38 31 3 8 5 14 17 6 2 1 7 7 1 7 4 18 21 20 15 4 12 19 15 5 3
"168" 5 5 1 0 0 8 4 4 5 8 5 10 3 9 15 3 4 1 10 4 0 1 3 5 4 7 5 1 6 11 15 12 6 12 12 5 3 0
"169" 4 7 5 14 17 12 8 17 18 14 1 14 13 27 21 13 11 2 15 10 3 0 2 5 4 9 2 6 11 20 32 16 3 18 15 12 3 1
